nfiscore	possible_sequences	sum_of_seq	sum/4^10	probability
-45	1829	1048577	1.0000010	0.9999990
-44	14	1046748	0.9982567	1.0017464
-43	1845	1046734	0.9982433	1.0017598
-42	943	1044889	0.9964838	1.0035286
-41	42	1043946	0.9955845	1.0044351
-40	2776	1043904	0.9955444	1.0044755
-39	55	1041128	0.9928970	1.0071538
-38	5553	1041073	0.9928446	1.0072070
-37	2835	1035520	0.9875488	1.0126082
-36	3788	1032685	0.9848452	1.0153880
-35	10195	1028897	0.9812326	1.0191263
-34	2970	1018702	0.9715099	1.0293256
-33	11211	1015732	0.9686775	1.0323353
-32	5789	1004521	0.9579859	1.0438567
-31	4963	998732	0.9524651	1.0499073
-30	10416	993769	0.9477320	1.0551506
-29	3202	983353	0.9377985	1.0663271
-28	16916	980151	0.9347448	1.0698107
-27	14271	963235	0.9186125	1.0885983
-26	14392	948964	0.9050026	1.1049692
-25	17152	934572	0.8912773	1.1219853
-24	13668	917420	0.8749199	1.1429618
-23	18242	903752	0.8618851	1.1602475
-22	16536	885510	0.8444881	1.1841492
-21	13913	868974	0.8287182	1.2066828
-20	13956	855061	0.8154497	1.2263172
-19	12233	841105	0.8021402	1.2466648
-18	13059	828872	0.7904739	1.2650638
-17	28711	815813	0.7780199	1.2853142
-16	18754	787102	0.7506390	1.3321984
-15	17910	768348	0.7327538	1.3647149
-14	24374	750438	0.7156734	1.3972853
-13	12555	726064	0.6924286	1.4441922
-12	23574	713509	0.6804552	1.4696044
-11	10795	689935	0.6579733	1.5198185
-10	17354	679140	0.6476784	1.5439762
-9	14579	661786	0.6311283	1.5844639
-8	9057	647207	0.6172247	1.6201555
-7	29084	638150	0.6085873	1.6431497
-6	20988	609066	0.5808506	1.7216131
-5	27432	588078	0.5608349	1.7830560
-4	21928	560646	0.5346737	1.8702996
-3	21237	538718	0.5137615	1.9464284
-2	17462	517481	0.4935083	2.0263082
-1	11181	500019	0.4768553	2.0970723
0	20275	488838	0.4661922	2.1450378
1	13062	468563	0.4468565	2.2378549
2	11218	455501	0.4343996	2.3020279
3	16403	444283	0.4237013	2.3601533
4	23907	427880	0.4080582	2.4506310
5	17328	403973	0.3852587	2.5956586
6	14646	386645	0.3687334	2.7119864
7	16493	371999	0.3547659	2.8187603
8	16477	355506	0.3390369	2.9495311
9	9192	339029	0.3233232	3.0928800
10	10895	329837	0.3145571	3.1790733
11	20246	318942	0.3041668	3.2876699
12	11007	298696	0.2848587	3.5105124
13	16363	287689	0.2743616	3.6448248
14	12656	271326	0.2587566	3.8646352
15	14511	258670	0.2466869	4.0537210
16	21694	244159	0.2328482	4.2946441
17	12570	222465	0.2121592	4.7134426
18	11778	209895	0.2001715	4.9957169
19	8955	198117	0.1889391	5.2927109
20	8039	189162	0.1803989	5.5432698
21	10627	181123	0.1727324	5.7893034
22	3390	170496	0.1625977	6.1501502
23	9664	167106	0.1593647	6.2749153
24	10487	157442	0.1501484	6.6600780
25	5821	146955	0.1401472	7.1353544
26	11174	141134	0.1345959	7.4296484
27	12243	129960	0.1239395	8.0684518
28	12179	117717	0.1122637	8.9076004
29	5778	105538	0.1006489	9.9355303
30	5777	99760	0.0951385	10.5109864
31	5787	93983	0.0896292	11.1570816
32	4791	88196	0.0841103	11.8891560
33	5525	83405	0.0795412	12.5721000
34	7440	77880	0.0742722	13.4639959
35	4657	70440	0.0671768	14.8860875
36	4454	65783	0.0627356	15.9399237
37	9000	61329	0.0584879	17.0975558
38	3564	52329	0.0499048	20.0381433
39	2645	48765	0.0465059	21.5026351
40	718	46120	0.0439835	22.7358196
41	4364	45402	0.0432987	23.0953702
42	1611	41038	0.0391369	25.5513427
43	2449	39427	0.0376005	26.5953788
44	5182	36978	0.0352650	28.3567527
45	2426	31796	0.0303230	32.9782363
46	5087	29370	0.0280094	35.7022812
47	2287	24283	0.0231581	43.1814850
48	4159	21996	0.0209770	47.6712129
49	2265	17837	0.0170107	58.7865672
50	1384	15572	0.0148506	67.3372720
51	452	14188	0.0135307	73.9058359
52	409	13736	0.0130997	76.3377985
53	2196	13327	0.0127096	78.6805733
